,net_worth_billions,age,clusters
801,2.5,63.0,0
802,2.5,60.0,0
803,2.5,87.0,3
804,2.5,55.0,0
805,2.5,45.0,1
806,2.4,45.0,1
807,2.4,35.0,1
808,2.4,78.0,3
809,2.3,74.0,3
810,2.3,56.0,0
811,2.3,59.0,0
812,2.3,76.0,3
813,2.3,60.0,0
814,2.3,66.0,0
815,2.3,61.0,0
816,2.3,55.0,0
817,2.3,51.0,1
818,2.3,72.0,3
819,2.3,49.0,1
820,2.3,58.0,0
821,2.2,71.0,3
822,2.2,65.0,0
823,2.2,59.0,0
824,2.2,52.0,1
825,2.2,74.0,3
826,2.2,61.0,0
827,2.2,56.0,0
828,2.2,64.0,0
829,2.1,83.0,3
830,2.1,65.0,0
831,2.1,66.0,0
832,2.1,67.0,0
833,2.1,65.0,0
834,2.0,49.0,1
835,2.0,66.0,0
836,2.0,72.0,3
837,2.0,65.0,0
838,2.0,73.0,3
839,2.0,64.0,0
840,1.9,74.0,3
841,1.9,55.0,0
842,1.9,64.0,0
843,1.9,58.0,0
844,1.9,57.0,0
845,1.9,70.0,0
846,1.9,68.0,0
847,1.9,61.0,0
848,1.9,57.0,0
849,1.9,62.0,0
850,1.8,79.0,3
851,1.8,63.0,0
852,1.8,63.0,0
853,1.8,64.0,0
854,1.8,73.0,3
855,1.8,72.0,3
856,1.8,73.0,3
857,1.8,42.0,1
858,1.8,39.0,1
859,1.8,0.0,1
860,1.8,61.0,0
861,1.7,62.0,0
862,1.7,68.0,0
863,1.7,70.0,0
864,1.7,52.0,1
865,1.7,77.0,3
866,1.7,76.0,3
867,1.7,77.0,3
868,1.7,65.0,0
869,1.7,48.0,1
870,1.7,60.0,0
871,1.7,62.0,0
872,1.7,59.0,0
873,1.7,71.0,3
874,1.7,58.0,0
875,1.7,57.0,0
876,1.7,68.0,0
877,1.6,72.0,3
878,1.6,50.0,1
879,1.6,0.0,1
880,1.6,60.0,0
881,1.6,49.0,1
882,1.6,69.0,0
883,1.6,64.0,0
884,1.6,78.0,3
885,1.6,63.0,0
886,1.6,0.0,1
887,1.6,68.0,0
888,1.6,37.0,1
889,1.6,80.0,3
890,1.6,57.0,0
891,1.5,57.0,0
892,1.5,50.0,1
893,1.5,34.0,1
894,1.5,49.0,1
895,1.5,64.0,0
896,1.5,38.0,1
897,1.5,59.0,0
898,1.5,57.0,0
899,1.5,52.0,1
900,1.5,76.0,3
901,1.5,70.0,0
902,1.5,41.0,1
903,1.5,64.0,0
904,1.5,62.0,0
905,1.5,62.0,0
906,1.5,54.0,0
907,1.5,19.0,1
908,1.5,54.0,0
909,1.4,69.0,0
910,1.4,57.0,0
911,1.4,49.0,1
912,1.4,55.0,0
913,1.4,53.0,1
914,1.4,73.0,3
915,1.4,57.0,0
916,1.4,83.0,3
917,1.4,79.0,3
918,1.4,53.0,1
919,1.4,62.0,0
920,1.4,75.0,3
921,1.3,52.0,1
922,1.3,51.0,1
923,1.3,63.0,0
924,1.3,80.0,3
925,1.3,75.0,3
926,1.3,44.0,1
927,1.3,62.0,0
928,1.3,50.0,1
929,1.3,59.0,0
930,1.3,64.0,0
931,1.3,46.0,1
932,1.3,50.0,1
933,1.3,58.0,0
934,1.3,74.0,3
935,1.2,46.0,1
936,1.2,67.0,0
937,1.2,62.0,0
938,1.2,56.0,0
939,1.2,67.0,0
940,1.2,61.0,0
941,1.2,61.0,0
942,1.2,77.0,3
943,1.2,62.0,0
944,1.2,58.0,0
945,1.2,66.0,0
946,1.2,37.0,1
947,1.2,78.0,3
948,1.2,64.0,0
949,1.2,66.0,0
950,1.2,70.0,0
951,1.2,50.0,1
952,1.2,63.0,0
953,1.2,82.0,3
954,1.2,43.0,1
955,1.2,44.0,1
956,1.2,48.0,1
957,1.2,78.0,3
958,1.2,31.0,1
959,1.2,38.0,1
960,1.2,35.0,1
961,1.1,65.0,0
962,1.1,79.0,3
963,1.1,68.0,0
964,1.1,76.0,3
965,1.1,60.0,0
966,1.1,60.0,0
967,1.1,35.0,1
968,1.1,63.0,0
969,1.1,76.0,3
970,1.1,53.0,1
971,1.1,59.0,0
972,1.1,52.0,1
973,1.1,65.0,0
974,1.1,66.0,0
975,1.1,68.0,0
976,1.1,75.0,3
977,1.1,69.0,0
978,1.1,43.0,1
979,1.1,62.0,0
980,1.1,48.0,1
981,1.1,38.0,1
982,1.1,58.0,0
983,1.1,45.0,1
984,1.1,60.0,0
985,1.1,46.0,1
986,1.1,61.0,0
987,1.1,0.0,1
988,1.1,65.0,0
989,1.0,73.0,3
990,1.0,65.0,0
991,1.0,51.0,1
992,1.0,47.0,1
993,1.0,50.0,1
994,1.0,47.0,1
995,1.0,73.0,3
996,1.0,77.0,3
997,1.0,46.0,1
998,1.0,53.0,1
999,1.0,73.0,3
1000,1.0,36.0,1
1001,1.0,64.0,0
1002,1.0,58.0,0
1003,1.0,59.0,0
1004,1.0,66.0,0
1005,1.0,57.0,0
1006,1.0,60.0,0
1007,1.0,52.0,1
1008,1.0,0.0,1
1009,1.0,47.0,1
1010,1.0,70.0,0
1011,1.0,70.0,0
1012,1.0,71.0,3
1013,1.0,71.0,3
1014,1.0,55.0,0
1015,1.0,85.0,3
1016,1.0,79.0,3
1017,1.0,49.0,1
1018,1.0,68.0,0
1019,46.6,48.0,4
1020,42.9,73.0,4
1021,23.0,84.0,4
1022,21.5,47.0,4
1023,21.0,51.0,4
1024,20.0,55.0,4
1025,20.0,56.0,4
1026,20.0,60.0,4
1027,18.8,81.0,4
1028,18.7,59.0,4
1029,18.5,77.0,4
1030,13.9,64.0,4
1031,13.0,39.0,1
1032,12.4,47.0,1
