,year,rank,net_worth_billions,full_name,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_industries,organization_name,position_in_organization,self_made,wealth_status
29963,2023,852,3.4,Hans Peter Wild,81.0,Male,Switzerland,Switzerland,Zug,['Food & Beverage'],,,False,Decreased
29964,2023,852,3.4,Wu Guanjiang & family,54.0,Male,China,China,Chongqing,['Healthcare'],,,True,Decreased
29965,2023,852,3.4,Yi Zheng,52.0,Male,China,China,Hangzhou,['Technology'],,,True,Increased
29966,2023,852,3.4,Eric Yuan & family,53.0,Male,United States,United States,Santa Clara,['Technology'],Zoom Video Communications,Founder and CEO,True,Decreased
29967,2023,852,3.4,Charles Zegar,75.0,Male,United States,United States,New York,['Media & Entertainment'],,,True,Increased
29968,2023,878,3.3,Mohed Altrad,75.0,Male,France,France,Montpellier,['Construction & Engineering'],,,True,Decreased
29969,2023,878,3.3,John Arnold,49.0,Male,United States,United States,Houston,['Finance & Investments'],Centaurus Advisors,Founder,True,Remained Even
29970,2023,878,3.3,Bill Austin,81.0,Male,United States,United States,Brownsville,['Manufacturing'],,,True,Increased
29971,2023,878,3.3,Chen Shibin,56.0,Male,China,China,Lianyungang,['Manufacturing'],,,True,Increased
29972,2023,878,3.3,Bennett Dorrance,77.0,Male,United States,United States,Paradise Valley,['Food & Beverage'],,,False,Increased
29973,2023,878,3.3,Walter Faria,68.0,Male,Brazil,Brazil,Rio de Janeiro,['Food & Beverage'],,,True,Remained Even
29974,2023,878,3.3,Walter Frey,79.0,Male,Switzerland,Switzerland,Küsnacht,['Automotive'],,,False,Increased
29975,2023,878,3.3,Fu Liquan & family,55.0,Male,China,China,Hangzhou,['Technology'],,,True,Decreased
29976,2023,878,3.3,John Gandel,88.0,Male,Australia,Australia,Melbourne,['Real Estate'],,,False,Remained Even
29977,2023,878,3.3,Peter Gilgan,72.0,Male,Canada,Canada,Oakville,['Construction & Engineering'],Mattamy Group Corp.,"Founder, CEO and Chairman",True,Increased
29978,2023,878,3.3,Kwek Leng Beng,82.0,Male,Singapore,Singapore,Singapore,['Diversified'],,,False,Increased
29979,2023,878,3.3,Pablo Legorreta,59.0,Male,United States,United States,Sag Harbor,['Finance & Investments'],,,True,Decreased
29980,2023,878,3.3,Arnon Milchan,78.0,Male,Israel,Israel,Tel Aviv,['Media & Entertainment'],,,True,Decreased
29981,2023,878,3.3,Akio Nitori,79.0,Male,Japan,Japan,Hokkaido,['Fashion & Retail'],,,True,Decreased
29982,2023,878,3.3,Julio Ponce Lerou,77.0,Male,Chile,Chile,Santiago,['Metals & Mining'],,,True,Decreased
29983,2023,878,3.3,Rodger Riney & family,77.0,Male,United States,United States,St. Louis,['Finance & Investments'],Scottrade,Cofounder,True,Decreased
29984,2023,878,3.3,Phil Ruffin,88.0,Male,United States,United States,Las Vegas,['Diversified'],,,True,Increased
29985,2023,878,3.3,Naguib Sawiris,68.0,Male,Egypt,Egypt,Cairo,['Telecom'],,,False,Decreased
29986,2023,878,3.3,Neil Shen,55.0,Male,Hong Kong,China,Hong Kong,['Finance & Investments'],Sequoia China,Investor,True,Decreased
29987,2023,878,3.3,Gil Shwed,54.0,Male,Israel,Israel,Tel Aviv,['Technology'],,,True,Decreased
29988,2023,878,3.3,Stephen Smith,71.0,Male,Canada,Canada,Toronto,['Finance & Investments'],,,True,Increased
